Mean nominal monthly earnings of employees by sex and economic activity (local currency),,,,,,,,,,,,
Reference area,Source,Sex,Time,Total,Agriculture,Manufacturing,Construction,"Mining and quarrying; Electricity, gas and water supply","Trade, Transportation, Accommodation and Food, and Business and Administrative Services","Public Administration, Community, Social and other Services and Activities",Not classified,
Angola,LFS - Employment Survey,Total,2021Q1,90678.80,30435.78,56479.48,57649.03,163601.30,63441.24,112328.72,,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Kwanza 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Yearly"
Angola,LFS - Employment Survey,Male,2021Q1,99293.14,31754.67,57779.36,57692.98,159727.35,61931.52,141771.40,,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Kwanza 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Yearly"
Angola,LFS - Employment Survey,Female,2021Q1,69497.80,16140.00,47710.49,,244950.67,69521.72,69700.86,,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Kwanza 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Yearly"
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Total,2019Q3,28634.10,,30902.08,20147.07,42002.44,30405.44,27658.28,30289.38,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Argentine peso 
-Repository: ILO-STATISTICS - Micro data processing 
-Geographical coverage: Main cities or metropolitan areas 
-Frequency: Quarterly: average based on 3 monthly data points"
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Male,2019Q3,32094.92,,32532.13,19097.55,42762.72,32986.66,35784.17,30553.15,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Argentine peso 
-Repository: ILO-STATISTICS - Micro data processing 
-Geographical coverage: Main cities or metropolitan areas 
-Frequency: Quarterly: average based on 3 monthly data points"
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Female,2019Q3,24553.27,,25664.44,32701.21,39749.38,25454.17,23793.65,29680.40,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Argentine peso 
-Repository: ILO-STATISTICS - Micro data processing 
-Geographical coverage: Main cities or metropolitan areas 
-Frequency: Quarterly: average based on 3 monthly data points"
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Total,2019Q4,27423.26,35570.86,28311.26,20386.14,42967.80,29561.16,26345.36,30518.91,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Argentine peso 
-Repository: ILO-STATISTICS - Micro data processing 
-Geographical coverage: Main cities or metropolitan areas 
-Frequency: Quarterly: average based on 3 monthly data points"
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Male,2019Q4,30865.99,42242.65,30177.00,19889.29,43605.81,31526.23,34190.04,30609.88,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Argentine peso 
-Repository: ILO-STATISTICS - Micro data processing 
-Geographical coverage: Main cities or metropolitan areas 
-Frequency: Quarterly: average based on 3 monthly data points"
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Female,2019Q4,23528.19,18416.65,22205.89,29189.99,40504.87,26105.61,22402.90,30439.84,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Argentine peso 
-Repository: ILO-STATISTICS - Micro data processing 
-Geographical coverage: Main cities or metropolitan areas 
-Frequency: Quarterly: average based on 3 monthly data points"
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Total,2020Q1,34506.49,,37270.67,26094.54,50769.49,36174.59,33309.80,42188.12,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Argentine peso 
-Repository: ILO-STATISTICS - Micro data processing 
-Geographical coverage: Main cities or metropolitan areas 
-Frequency: Quarterly: average based on 3 monthly data points"
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Male,2020Q1,38684.48,,39197.40,25957.59,48608.36,38822.65,43087.06,45724.66,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Argentine peso 
-Repository: ILO-STATISTICS - Micro data processing 
-Geographical coverage: Main cities or metropolitan areas 
-Frequency: Quarterly: average based on 3 monthly data points"
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Female,2020Q1,29689.88,,32101.64,32193.23,56443.86,31223.00,28525.64,26059.29,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Argentine peso 
-Repository: ILO-STATISTICS - Micro data processing 
-Geographical coverage: Main cities or metropolitan areas 
-Frequency: Quarterly: average based on 3 monthly data points"
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Total,2020Q2,34010.55,,34549.90,20696.86,45150.69,35673.40,33650.83,34577.55,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Argentine peso 
-Repository: ILO-STATISTICS - Micro data processing 
-Geographical coverage: Main cities or metropolitan areas 
-Frequency: Quarterly: average based on 3 monthly data points"
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Male,2020Q2,37984.08,,35277.83,20599.25,43639.71,38591.45,42622.28,33985.05,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Argentine peso 
-Repository: ILO-STATISTICS - Micro data processing 
-Geographical coverage: Main cities or metropolitan areas 
-Frequency: Quarterly: average based on 3 monthly data points"
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Female,2020Q2,29299.07,,32053.04,21675.60,56465.13,29263.47,29012.36,36289.24,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Argentine peso 
-Repository: ILO-STATISTICS - Micro data processing 
-Geographical coverage: Main cities or metropolitan areas 
-Frequency: Quarterly: average based on 3 monthly data points"
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Total,2020Q3,40236.94,39819.89,43627.29,25268.30,58816.85,44376.26,38185.47,24958.75,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Argentine peso 
-Repository: ILO-STATISTICS - Micro data processing 
-Geographical coverage: Main cities or metropolitan areas 
-Frequency: Quarterly: average based on 3 monthly data points"
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Male,2020Q3,44786.40,39819.89,45236.79,23975.22,61361.53,47814.82,47186.53,25188.45,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Argentine peso 
-Repository: ILO-STATISTICS - Micro data processing 
-Geographical coverage: Main cities or metropolitan areas 
-Frequency: Quarterly: average based on 3 monthly data points"
